//archivo Registro.csv
codProducto,nombre,tipo,peso,precioVenta,marca,modelo,paisOrigen,unidadesVendidas,stock,diasInventario,calibre,precioCosto
P001,Glock 17,Pistola,0.625kg,550.00,Glock,17 Gen5,Austria,150,40,15,9mm,400.00
P002,Beretta 92FS,Pistola,0.945kg,700.00,Beretta,92FS,Italia,120,30,20,9mm,520.00
P003,Colt M1911,Pistola,1.1kg,800.00,Colt,M1911,EE.UU.,90,20,25,.45 ACP,600.00
P004,SIG Sauer P320,Pistola,0.833kg,650.00,SIG Sauer,P320,Alemania,130,35,18,9mm,500.00
P005,FN Five-seveN,Pistola,0.744kg,1200.00,FN Herstal,Five-seveN,Bélgica,85,25,22,5.7×28mm,900.00
E001,Remington 870,Escopeta,3.6kg,450.00,Remington,870 Express,EE.UU.,70,15,30,12 GA,320.00
E002,Mossberg 500,Escopeta,3.2kg,400.00,Mossberg,500,EE.UU.,95,18,28,12 GA,300.00
E003,Benelli M4,Escopeta,3.8kg,1900.00,Benelli,M4,Italia,40,10,35,12 GA,1500.00
E004,Winchester SXP,Escopeta,3.3kg,390.00,Winchester,SXP Defender,EE.UU.,65,12,27,12 GA,290.00
E005,Hatsan Escort,Escopeta,3.5kg,350.00,Hatsan,Escort MPA,Turquía,55,14,26,12 GA,270.00
